Gene description,Gene stable ID,Gene name,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene type
"novel protein, similar to DNA (cytosine-5-)-methyltransferase 3-like DNMT3L",ENSG00000279493,,21,5011799,5017145,1,artifact
"novel protein, similar to inducible T-cell co-stimulator ligand ICOSLG",ENSG00000277117,,21,5022531,5036771,1,artifact
"novel transcript, antisense to CH507-9B2.3",ENSG00000279687,,21,5073458,5087867,1,artifact
"novel protein, similar to chromosome 21 open reading frame 33 C21orf33",ENSG00000280071,,21,5116341,5128369,-1,artifact
"novel protein, similar to PWP2 periodic tryptophan protein homolog (yeast) PWP2",ENSG00000275464,,21,5130871,5154658,-1,artifact
"novel protein, similar to trafficking protein particle complex 10 TRAPPC10",ENSG00000280433,,21,5155499,5163695,-1,artifact
novel transcript,ENSG00000279669,,21,5232668,5243903,-1,lncRNA
long intergenic non-protein coding RNA 1670 [Source:HGNC Symbol;Acc:HGNC:52458],ENSG00000279094,LINC01670,21,5448587,5502603,-1,lncRNA
long intergenic non-protein coding RNA 3104 [Source:HGNC Symbol;Acc:HGNC:56834],ENSG00000274333,LINC03104,21,5553602,5695242,1,lncRNA
Y RNA [Source:RFAM;Acc:RF00019],ENSG00000277777,Y_RNA,21,5597390,5597490,1,misc_RNA
novel transcript,ENSG00000299259,,21,5698176,5698863,1,lncRNA
TEC,ENSG00000279186,,21,5703182,5705637,-1,TEC
novel transcript,ENSG00000279784,,21,5705345,5707160,1,lncRNA
novel transcript,ENSG00000279064,,21,5707004,5709737,-1,lncRNA
novel histone H2B family protein,ENSG00000274559,,21,5972924,5973383,-1,artifact
heat shock transcription factor 2 binding protein (HSF2BP) pseudogene,ENSG00000280013,,21,6008604,6008810,1,artifact
novel transcript,ENSG00000280191,,21,6060340,6076305,1,artifact
novel transcript,ENSG00000280179,,21,6084381,6091407,-1,artifact
"novel protein, similar to salt-inducible kinase 1 SIK1",ENSG00000275993,,21,6111131,6123778,1,artifact
novel transcript,ENSG00000301217,,21,6127317,6128972,1,lncRNA
novel transcript,ENSG00000310452,,21,6133736,6136940,1,lncRNA
novel transcript,ENSG00000300807,,21,6140713,6145730,1,lncRNA
novel transcript,ENSG00000288187,,21,6214499,6217885,-1,lncRNA
Y RNA [Source:RFAM;Acc:RF00019],ENSG00000274790,Y_RNA,21,6223480,6223580,-1,misc_RNA
novel transcript,ENSG00000275496,,21,6228128,6267431,-1,lncRNA
clustered mitochondria (cluA/CLU1) homolog (Cluh) pseudogene,ENSG00000280019,,21,6272135,6276532,-1,unprocessed_pseudogene
clustered mitochondria (cluA/CLU1) homolog (CLUH) pseudogene,ENSG00000279709,,21,6309161,6312948,1,unprocessed_pseudogene
novel transcript,ENSG00000278903,,21,6318370,6360415,1,lncRNA
Y RNA [Source:RFAM;Acc:RF00019],ENSG00000276902,Y_RNA,21,6365955,6366055,1,misc_RNA
cystathionine-beta-synthase like,ENSG00000274276,,21,6444869,6467513,-1,artifact
U2 small nuclear RNA auxiliary factor 1-like 5,ENSG00000275895,,21,6484623,6499248,-1,artifact
"novel protein, similar to crystallin, alpha A CRYAA",ENSG00000276076,,21,6499203,6564489,1,artifact
novel transcript,ENSG00000308817,,21,6569561,6571226,-1,lncRNA
novel transcript,ENSG00000308804,,21,6569788,6576813,1,lncRNA
novel transcript,ENSG00000280145,,21,6630182,6670761,-1,lncRNA
clustered mitochondria (cluA/CLU1) homolog (CLUH) pseudogene,ENSG00000279788,,21,6676178,6679962,-1,unprocessed_pseudogene
clustered mitochondria (cluA/CLU1) homolog (CLUH) pseudogene,ENSG00000279728,,21,6712596,6716361,1,unprocessed_pseudogene
novel transcript,ENSG00000280164,,21,6721711,6737596,1,lncRNA
novel transcript,ENSG00000279998,,21,6789592,6812297,1,lncRNA
novel transcript,ENSG00000305963,,21,6858450,6892971,1,lncRNA
hsa-mir-8069-1 [Source:miRBase;Acc:MI0025905],ENSG00000284550,hsa-mir-8069-1,21,6859171,6859256,1,miRNA
fem-1 homolog a (C. elegans) (FEM1A) pseudogene,ENSG00000280172,,21,6897291,6899280,1,artifact
novel transcript,ENSG00000279751,,21,6904884,6906692,1,lncRNA
novel transcript,ENSG00000280018,,21,6986241,6997903,-1,lncRNA
clustered mitochondria (cluA/CLU1) homolog (CLUH) pseudogene,ENSG00000279477,,21,7003248,7007022,-1,unprocessed_pseudogene
novel transcript,ENSG00000278884,,21,7020599,7025166,1,lncRNA
novel transcript,ENSG00000277067,,21,7048748,7116635,1,lncRNA
Y RNA [Source:RFAM;Acc:RF00019],ENSG00000274046,Y_RNA,21,7092616,7092716,1,misc_RNA
novel transcript,ENSG00000301877,,21,7098235,7110070,-1,lncRNA
CTBP2 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:54512],ENSG00000280330,CTBP2P10,21,7129103,7130287,1,processed_pseudogene
novel transcript,ENSG00000307424,,21,7130334,7131029,1,lncRNA
TEC,ENSG00000279303,,21,7135334,7137789,-1,TEC
novel transcript,ENSG00000298852,,21,7139156,7142308,-1,lncRNA
clustered mitochondria (cluA/CLU1) homolog (CLUH) pseudogene,ENSG00000279647,,21,7385058,7388799,-1,unprocessed_pseudogene
clustered mitochondria (cluA/CLU1) homolog (CLUH) pseudogene,ENSG00000279895,,21,7421442,7425839,-1,unprocessed_pseudogene
long intergenic non-protein coding RNA 3105 [Source:HGNC Symbol;Acc:HGNC:56835],ENSG00000276077,LINC03105,21,7430540,7498413,1,lncRNA
Y RNA [Source:RFAM;Acc:RF00019],ENSG00000274484,Y_RNA,21,7474394,7474494,1,misc_RNA
novel transcript,ENSG00000299096,,21,7480180,7491848,-1,lncRNA
novel transcript,ENSG00000294710,,21,7614322,7618077,1,lncRNA
novel transcript,ENSG00000305532,,21,7625602,7626297,-1,lncRNA
CTBP2 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:54511],ENSG00000279177,CTBP2P9,21,7626344,7627528,-1,processed_pseudogene
novel transcript,ENSG00000277991,,21,7629236,7692266,-1,lncRNA
novel transcript,ENSG00000308244,,21,7646562,7658225,1,lncRNA
Y RNA [Source:RFAM;Acc:RF00019],ENSG00000276546,Y_RNA,21,7663911,7664011,-1,misc_RNA
small integral membrane protein 11B,ENSG00000273590,,21,7744951,7758630,1,artifact
novel protein identical to C21orf140,ENSG00000277277,,21,7769588,7770548,-1,artifact
novel protein,ENSG00000278961,,21,7788703,7793954,-1,artifact
"potassium channel, voltage gated subfamily E regulatory beta subunit 1B",ENSG00000276289,,21,7816677,7829632,-1,artifact
TEC,ENSG00000279967,,21,8101251,8103706,-1,TEC
novel transcript,ENSG00000304013,,21,8104758,8108225,-1,lncRNA
novel transcript,ENSG00000278996,,21,8131903,8227646,1,lncRNA
novel transcript,ENSG00000295792,,21,8204244,8205082,-1,lncRNA
microRNA 6724-1 [Source:HGNC Symbol;Acc:HGNC:50837],ENSG00000275950,MIR6724-1,21,8205315,8205406,1,miRNA
,ENSG00000275664,,21,8205851,8205940,1,misc_RNA
microRNA 3648-1 [Source:HGNC Symbol;Acc:HGNC:38941],ENSG00000275708,MIR3648-1,21,8208473,8208652,1,miRNA
,ENSG00000277437,,21,8208844,8208904,1,miRNA
"novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1",ENSG00000280800,,21,8210384,8211306,-1,lncRNA
"RNA, 5.8S ribosomal N2 [Source:HGNC Symbol;Acc:HGNC:53521]",ENSG00000278233,RNA5-8SN2,21,8212572,8212724,1,rRNA
TEC,ENSG00000286155,,21,8235354,8235832,1,TEC
TEC,ENSG00000286252,,21,8237649,8237979,1,TEC
TEC,ENSG00000286057,,21,8238859,8239092,1,TEC
TEC,ENSG00000286012,,21,8240736,8241047,1,TEC
novel transcript,ENSG00000309985,,21,8248435,8249271,-1,lncRNA
microRNA 6724-2 [Source:HGNC Symbol;Acc:HGNC:50832],ENSG00000274060,MIR6724-2,21,8249505,8249596,1,miRNA
,ENSG00000277671,,21,8250060,8250149,1,misc_RNA
"novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1",ENSG00000281383,,21,8254592,8255514,-1,lncRNA
5.8S ribosomal RNA [Source:RFAM;Acc:RF00002],ENSG00000277739,5_8S_rRNA,21,8256781,8256933,1,rRNA
novel transcript,ENSG00000280441,,21,8380643,8454792,1,lncRNA
novel transcript,ENSG00000301656,,21,8387292,8388126,-1,lncRNA
microRNA 6724-3 [Source:HGNC Symbol;Acc:HGNC:50842],ENSG00000277379,MIR6724-3,21,8388362,8388453,1,miRNA
,ENSG00000274868,,21,8388898,8388987,1,misc_RNA
